,SPY
2015-12-26,"['5.044', '33.319', '28.009', '-1.01', '2.6060000000000003', '17.385', '15.062000000000001', '-0.981', '116.0', '748.887', '383.899', '-1.649', '0.526', '0.521', '-0.064', '2015-12-26']"
2015-12-27,"['9.533', '33.421', '27.916', '-0.856', '5.513999999999999', '17.414', '15.045', '-0.7909999999999999', '99.0', '733.065', '404.028', '-1.569', '0.606', '0.512', '0.059000000000000004', '2015-12-27']"
2015-12-28,"['17.887999999999998', '33.655', '27.699', '-0.569', '11.151', '17.732', '14.790999999999999', '-0.445', '378.0', '709.245', '407.936', '-0.812', '0.479', '0.5710000000000001', '0.156', '2015-12-28']"
2015-12-29,"['44.193999999999996', '33.801', '27.844', '0.373', '36.405', '18.352999999999998', '15.412', '1.171', '685.0', '692.798', '409.829', '-0.019', '0.355', '0.853', '0.087', '2015-12-29']"
2015-12-30,"['33.086999999999996', '33.435', '27.701999999999998', '-0.013000000000000001', '20.011', '17.851', '14.690999999999999', '0.147', '645.0', '666.7689999999999', '396.976', '-0.055', '0.37799999999999995', '0.706', '-0.025', '2015-12-30']"
2015-12-31,"['24.885', '33.941', '28.002', '-0.32299999999999995', '19.551', '18.261', '14.699000000000002', '0.08800000000000001', '729.0', '663.0930000000001', '394.115', '0.16699999999999998', '0.34299999999999997', '1.34', '0.21', '2015-12-31']"
2016-01-01,"['5.053', '33.838', '27.96', '-1.03', '2.674', '17.902', '14.725', '-1.034', '504.0', '631.039', '378.835', '-0.335', '0.435', '0.6920000000000001', '-0.106', '2016-01-01']"
2016-01-02,"['2.255', '33.958', '27.92', '-1.136', '1.682', '17.825', '14.805', '-1.09', '197.0', '634.503', '382.486', '-1.1440000000000001', '0.518', '0.5579999999999999', '0.063', '2016-01-02']"
2016-01-03,"['12.208', '33.545', '28.01', '-0.762', '6.034', '17.37', '14.969000000000001', '-0.757', '188.0', '620.8969999999999', '391.423', '-1.1059999999999999', '0.5529999999999999', '0.574', '-0.031', '2016-01-03']"
2016-01-04,"['14.655999999999999', '30.686', '26.68', '-0.601', '9.642999999999999', '15.76', '13.815999999999999', '-0.44299999999999995', '753.0', '601.016', '367.64599999999996', '0.413', '0.452', '1.729', '-0.042', '2016-01-04']"
